SKU_CD,PLNT_CD,SLOC_CD,SNAP_DT,OH_STK_QTY,INTR_TRNSIT_QTY,OPEN_PO_QTY,RSVD_SO_QTY,AVAIL_STK_QTY,SS_QTY,ROP_VAL,LT_DAYS,MOQ_QTY,DOH_CNT,DOS_CNT,INV_STS_CD,LAST_GR_DT,LAST_GI_DT,EOQ_QTY
RF01051,PLNT_CHI,SL35,2026-05-15,12006,574,1410,9887,10400,1884,1992,4,1000,35.3,30.0,OK,2026-05-08,2026-05-08,1662
RF01051,PLNT_DAL,SL95,2026-05-15,13836,1287,39,3959,9231,1408,1830,11,500,216.2,53.2,OK,2026-04-28,2026-05-10,1400
RF01051,PLNT_ATL,SL48,2026-05-15,5805,703,189,5389,5048,278,1070,7,100,17.2,29.6,OK,2026-05-08,2026-05-14,1640
RF01051,PLNT_LAX,SL38,2026-05-15,14890,1537,4026,10165,7858,1150,1860,11,250,31.3,111.3,OK,2026-04-22,2026-05-14,1414
RF01052,PLNT_CHI,SL45,2026-05-15,2330,1779,1366,1642,1597,689,1461,14,100,16.2,9.0,OK,2026-04-28,2026-05-09,3615
RF01052,PLNT_DAL,SL98,2026-05-15,14845,104,4289,5955,10783,575,1358,14,100,90.5,114.9,OK,2026-04-24,2026-05-10,3355
RF01052,PLNT_ATL,SL15,2026-05-15,4793,1634,4944,662,2399,900,1082,11,1000,28.5,62.4,OK,2026-04-24,2026-05-11,3318
RF01052,PLNT_LAX,SL99,2026-05-15,13579,64,3423,2223,9697,932,1352,10,1000,93.6,32.8,OK,2026-05-01,2026-05-12,2527
RF01053,PLNT_CHI,SL21,2026-05-15,7246,1367,2600,6803,5298,712,1206,6,250,30.1,21.5,LOW,2026-04-18,2026-05-13,3984
RF01053,PLNT_DAL,SL75,2026-05-15,4216,527,4306,970,2123,407,684,16,100,9.3,25.0,OK,2026-05-15,2026-05-15,3972
RF01053,PLNT_ATL,SL12,2026-05-15,9355,1618,1924,5505,8751,679,864,16,250,34.3,142.2,OK,2026-05-14,2026-05-10,4922
RF01053,PLNT_LAX,SL39,2026-05-15,2340,1385,818,709,1900,1881,2109,16,1000,12.1,6.9,LOW,2026-04-16,2026-05-15,3027
RF01054,PLNT_CHI,SL17,2026-05-15,8226,297,3025,3969,4944,904,1096,12,250,40.7,133.2,CRIT,2026-05-11,2026-05-13,2445
RF01054,PLNT_DAL,SL56,2026-05-15,1754,1571,3039,904,1367,704,1065,7,1000,6.1,7.0,LOW,2026-05-12,2026-05-10,2898
RF01054,PLNT_ATL,SL20,2026-05-15,9674,1067,1663,4901,7637,249,641,11,250,35.4,50.8,OK,2026-04-20,2026-05-14,812
RF01054,PLNT_LAX,SL71,2026-05-15,11234,243,878,5254,11105,1537,1797,21,1000,43.5,29.7,OK,2026-04-15,2026-05-08,1536
RF01055,PLNT_CHI,SL37,2026-05-15,6386,1755,1324,4171,5930,1802,2249,5,1000,13.3,66.7,LOW,2026-05-13,2026-05-15,4624
RF01055,PLNT_DAL,SL22,2026-05-15,8014,1215,4505,2016,6388,668,1401,7,250,23.6,18.4,OK,2026-05-09,2026-05-08,4064
RF01055,PLNT_ATL,SL27,2026-05-15,12746,1156,4209,11181,9050,1191,1407,3,500,42.6,46.2,LOW,2026-05-04,2026-05-14,3556
RF01055,PLNT_LAX,SL50,2026-05-15,14145,104,84,13252,12691,602,759,11,500,266.9,32.8,LOW,2026-04-22,2026-05-12,4549
RF01056,PLNT_CHI,SL91,2026-05-15,9092,709,452,2786,6502,1455,1590,9,500,29.6,38.2,LOW,2026-05-14,2026-05-12,889
RF01056,PLNT_DAL,SL62,2026-05-15,4459,1402,3762,2850,3241,217,936,9,500,12.1,14.6,LOW,2026-05-11,2026-05-12,3973
RF01056,PLNT_ATL,SL41,2026-05-15,8875,1700,4501,2165,5219,1234,1432,4,100,64.3,123.9,CRIT,2026-05-05,2026-05-14,2496
RF01056,PLNT_LAX,SL79,2026-05-15,4006,635,1308,609,4001,775,1259,4,100,40.1,15.3,LOW,2026-05-10,2026-05-10,2433
RF01057,PLNT_CHI,SL96,2026-05-15,2847,792,4284,497,1543,264,927,9,100,10.9,14.3,CRIT,2026-05-08,2026-05-14,4423
RF01057,PLNT_DAL,SL75,2026-05-15,4022,1213,2508,2654,3027,1711,2200,3,1000,15.0,41.6,OK,2026-05-15,2026-05-10,1560
RF01057,PLNT_ATL,SL11,2026-05-15,1323,935,935,888,1076,726,928,4,1000,7.1,15.3,CRIT,2026-05-15,2026-05-10,1353
RF01057,PLNT_LAX,SL20,2026-05-15,2954,1566,902,2392,2790,643,1212,3,500,8.0,8.8,LOW,2026-05-04,2026-05-11,3476
RF01058,PLNT_CHI,SL54,2026-05-15,6886,693,3190,6739,6416,1440,2023,7,1000,19.3,27.1,OK,2026-05-13,2026-05-12,4097
RF01058,PLNT_DAL,SL28,2026-05-15,7309,1733,3486,1970,4915,1703,2503,6,1000,31.6,86.1,OK,2026-05-03,2026-05-09,4109
RF01058,PLNT_ATL,SL73,2026-05-15,8911,424,3758,1612,7309,648,773,14,500,27.2,37.6,LOW,2026-04-19,2026-05-15,1858
RF01058,PLNT_LAX,SL18,2026-05-15,11951,618,2434,6405,8828,486,808,12,1000,85.4,52.3,OK,2026-05-09,2026-05-15,2931
RF01059,PLNT_CHI,SL22,2026-05-15,11140,1401,2442,2852,6011,426,599,17,1000,28.3,48.0,OK,2026-04-29,2026-05-12,1423
RF01059,PLNT_DAL,SL63,2026-05-15,9846,536,3925,445,7796,1012,1656,16,250,39.7,45.8,OK,2026-04-27,2026-05-09,4682
RF01059,PLNT_ATL,SL80,2026-05-15,14784,1144,1895,48,14553,1189,1311,9,1000,77.0,104.9,OK,2026-04-26,2026-05-12,3789
RF01059,PLNT_LAX,SL28,2026-05-15,11942,1596,4864,1861,6525,664,844,14,250,31.5,42.5,EXCESS,2026-05-03,2026-05-10,2327
RF01060,PLNT_CHI,SL58,2026-05-15,4590,1521,1189,771,4255,331,475,11,100,14.0,47.0,OK,2026-05-10,2026-05-11,4430
RF01060,PLNT_DAL,SL78,2026-05-15,2032,233,3656,1426,1435,1262,1559,3,100,4.6,9.6,OK,2026-04-19,2026-05-08,3241
RF01060,PLNT_ATL,SL83,2026-05-15,11094,977,2333,9529,6062,1117,1755,19,500,39.8,38.2,OK,2026-05-10,2026-05-13,1372
RF01060,PLNT_LAX,SL52,2026-05-15,8033,855,2915,4233,5012,454,667,11,1000,82.0,28.1,OK,2026-05-12,2026-05-15,4044
RF01061,PLNT_CHI,SL41,2026-05-15,1261,193,3341,409,1165,1208,1524,13,1000,9.3,12.9,EXCESS,2026-05-04,2026-05-10,4175
RF01061,PLNT_DAL,SL86,2026-05-15,13401,624,4987,6725,11616,564,1088,6,1000,44.8,50.8,OK,2026-04-27,2026-05-12,4805
RF01061,PLNT_ATL,SL60,2026-05-15,13974,1086,1365,11431,13587,1612,2316,21,100,129.4,39.1,CRIT,2026-04-30,2026-05-14,3989
RF01061,PLNT_LAX,SL59,2026-05-15,8089,454,1593,3453,4317,912,1205,8,100,72.9,102.0,OK,2026-04-18,2026-05-10,2693
RF01062,PLNT_CHI,SL41,2026-05-15,9476,975,1338,5853,7053,275,421,12,100,39.5,25.9,OK,2026-05-08,2026-05-10,3949
RF01062,PLNT_DAL,SL29,2026-05-15,14807,986,2281,12001,13023,1880,2220,21,100,41.2,135.9,OK,2026-05-05,2026-05-10,1367
RF01062,PLNT_ATL,SL51,2026-05-15,7175,1142,546,5155,4148,1856,2234,5,250,14.9,17.3,OK,2026-05-02,2026-05-13,1370
RF01062,PLNT_LAX,SL14,2026-05-15,13416,248,4440,6474,11506,1640,1926,9,1000,39.2,86.7,OK,2026-05-12,2026-05-12,2561
